,UTM,매출,장바구니 금액,지출 금액 (KRW),ROAS,광고 게재,광고 세트 예산,광고 세트 이름,주문,구매 개수,구매자,ARPPU,객단가,매출,주문,구매 개수,방문자,방문자,구매자,신규 구매자,전환률(방문-구매),장바구니 유저,장바구니 금액,장바구니 개수,전환률(방문-장바구니 담기),전환률(장바구니-구매),광고 게재,광고 세트 이름,입찰가,입찰 유형,광고 세트 예산,광고 세트 예산 유형,최근 영향이 큰 변경,기여 설정,결과,결과 표시 도구,도달,노출,결과당 비용,품질 순위,참여율 순위,전환율 순위,지출 금액 (KRW),종료,catalog_segment_value_omni_purchase_roas:omni_purchase,공유 항목의 웹사이트 구매 ROAS만,공유 항목의 모바일 앱 구매 ROAS만,,,
,my-offshoulder-16-video-jestinna-03saletagPop-240315,"₩250,533","₩1,618,747","₩48,263",519%,active,"₩30,000",오프숄더_영상_03영어_240315,6,7,5,"₩50,107","₩41,755",894.76,6,7,156,156,5,5,3.21%,21,"5,781.24",39,13.46%,23.81%,active,오프숄더_영상_03영어_240315,0,ABSOLUTE_OCPM,30000,일일 예산,3-14-24,클릭 후 7일 또는 조회 후 1일,,,9497,14578,,-,-,-,48263,진행 중,,,,,,
,my-offshoulder-19-video-jestinna-04slide-240315,"₩77,678","₩732,068","₩16,155",481%,inactive,"₩40,000",오프숄더_영상_04영어_240315,2,2,2,"₩38,839","₩38,839",277.42,2,2,72,72,2,2,2.78%,12,"2,614.53",17,16.67%,16.67%,inactive,오프숄더_영상_04영어_240315,0,ABSOLUTE_OCPM,40000,일일 예산,3-14-24,클릭 후 7일 또는 조회 후 1일,,,4341,5071,,-,-,-,16155,진행 중,,,,,,
,my-offshoulder-15-video-jestinna-03triplePop-240315,"₩270,094","₩2,660,809","₩84,924",318%,active,"₩30,000",오프숄더_영상_03영어_240315,6,7,6,"₩45,016","₩45,016",964.62,6,7,236,236,6,5,2.54%,39,"9,502.89",63,16.53%,15.38%,active,오프숄더_영상_03영어_240315,0,ABSOLUTE_OCPM,30000,일일 예산,3-14-24,클릭 후 7일 또는 조회 후 1일,,,16117,22828,,-,-,-,84924,진행 중,,,,,,
,my-offshoulder-21-video-jestinna-04saletagPop-240315,"₩418,816","₩6,521,329","₩135,674",309%,active,"₩40,000",오프숄더_영상_04영어_240315,8,11,7,"₩59,831","₩52,352","1,495.77",8,11,734,734,7,7,0.95%,92,"23,290.46",154,12.53%,7.61%,active,오프숄더_영상_04영어_240315,0,ABSOLUTE_OCPM,40000,일일 예산,3-14-24,클릭 후 7일 또는 조회 후 1일,,,33332,44481,,-,-,-,135674,진행 중,,,,,,
,my-offshoulder-13-video-jestinna-02singlePop-240315,"₩130,838","₩873,233","₩46,511",281%,active,"₩30,000",오프숄더_영상_02영어_240315,3,3,3,"₩43,613","₩43,613",467.28,3,3,118,118,3,2,2.54%,13,"3,118.69",20,11.02%,23.08%,active,오프숄더_영상_02영어_240315,0,ABSOLUTE_OCPM,30000,일일 예산,3-14-24,클릭 후 7일 또는 조회 후 1일,,,11062,16291,,-,-,-,46511,진행 중,,,,,,
,my-offshoulder-34-video-jestinna-04singlePopCN-240322,"₩37,019","₩506,486","₩14,601",254%,active,"₩30,000",오프숄더_영상_04중국어_240322,1,1,1,"₩37,019","₩37,019",132.21,1,1,54,54,1,1,1.85%,8,"1,808.88",12,14.81%,12.50%,active,오프숄더_영상_04중국어_240322,0,ABSOLUTE_OCPM,30000,일일 예산,0,클릭 후 7일 또는 조회 후 1일,,,2974,3753,,-,-,-,14601,진행 중,1.433763,,1.433763,,,
,my-offshoulder-31-video-jestinna-04singlePopEC-240322,"₩36,624","₩84,414","₩16,228",226%,active,"₩30,000",오프숄더_영상_04영중_240322,1,1,1,"₩36,624","₩36,624",130.8,1,1,25,25,1,1,4.00%,2,301.48,2,8.00%,50.00%,active,오프숄더_영상_04영중_240322,0,ABSOLUTE_OCPM,30000,일일 예산,3-22-24,클릭 후 7일 또는 조회 후 1일,,,2140,3059,,평균 이하 - 광고의 하위 35%,평균 이상,평균,16228,진행 중,,,,,,
,my-offshoulder-20-video-jestinna-04triplePop-240315,"₩115,234","₩3,288,303","₩55,776",207%,active,"₩40,000",오프숄더_영상_04영어_240315,3,3,3,"₩38,411","₩38,411",411.55,3,3,411,411,3,3,0.73%,50,"11,743.94",78,12.17%,6.00%,active,오프숄더_영상_04영어_240315,0,ABSOLUTE_OCPM,40000,일일 예산,3-14-24,클릭 후 7일 또는 조회 후 1일,,,18278,22012,,-,-,-,55776,진행 중,,,,,,
,my-offshoulder-22-video-jestinna-04saletagDangle-240315,"₩72,918","₩2,194,774","₩36,098",202%,active,"₩40,000",오프숄더_영상_04영어_240315,2,2,2,"₩36,459","₩36,459",260.42,2,2,280,280,2,2,0.71%,36,"7,838.48",52,12.86%,5.56%,active,오프숄더_영상_04영어_240315,0,ABSOLUTE_OCPM,40000,일일 예산,3-14-24,클릭 후 7일 또는 조회 후 1일,,,11733,13305,,-,-,-,36098,진행 중,,,,,,
,my-main-3-video-jestinna-03portrait-240315,"₩36,739","₩275,612","₩24,605",149%,inactive,"₩30,000",오프숄더_영상_03영어_240315,1,1,1,"₩36,739","₩36,739",131.21,1,1,56,56,1,1,1.79%,5.00,984.33,7,8.93%,20.00%,inactive,오프숄더_영상_03영어_240315,0,ABSOLUTE_OCPM,30000,일일 예산,3-14-24,클릭 후 7일 또는 조회 후 1일,,,5057,7194,,-,-,-,24605,진행 중,,,,,,
,my-offshoulder-32-video-jestinna-04triplePopCN-240322,"₩33,821","₩550,015","₩23,938",141%,active,"₩30,000",오프숄더_영상_04중국어_240322,1,1,1,"₩33,821","₩33,821",120.79,1,1,66,66,1,1,1.52%,9,"1,964.34",13,13.64%,11.11%,active,오프숄더_영상_04중국어_240322,0,ABSOLUTE_OCPM,30000,일일 예산,0,클릭 후 7일 또는 조회 후 1일,,,4141,5850,,-,-,-,23938,진행 중,,,,,,
,my-offshoulder-33-video-jestinna-04saletagDangleCN-240322,"₩37,019","₩478,825","₩28,128",132%,active,"₩30,000",오프숄더_영상_04중국어_240322,1,1,1,"₩37,019","₩37,019",132.21,1,1,59,59,1,1,1.69%,8,"1,710.09",11,13.56%,12.50%,active,오프숄더_영상_04중국어_240322,0,ABSOLUTE_OCPM,30000,일일 예산,0,클릭 후 7일 또는 조회 후 1일,,,5166,7402,,-,-,-,28128,진행 중,,,,,,
,my-offshoulder-9-video-jestinna-02slide-240315,"₩181,700","₩3,433,856","₩160,116",113%,inactive,"₩30,000",오프숄더_영상_02영어_240315,4,6,3,"₩60,567","₩45,425",648.93,4,6,486,486,3,3,0.62%,44,"12,263.77",81,9.05%,6.82%,inactive,오프숄더_영상_02영어_240315,0,ABSOLUTE_OCPM,30000,일일 예산,3-14-24,클릭 후 7일 또는 조회 후 1일,,,33424,48226,,-,-,-,160116,진행 중,,,,,,
